"filename", "language", "HTML", "Handlebars", "JavaScript", "SCSS", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_base.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 13, 4, 36
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_css-variables.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 3, 5, 19
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_fonts.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 3, 3, 13
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_helpers.scss", "SCSS", 0, 0, 0, 27, 0, 0, 0, 0, 23, 5, 55
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_typography.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_utilities.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_btn.scss", "SCSS", 0, 0, 0, 57, 0, 0, 0, 0, 3, 4, 64
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_card.scss", "SCSS", 0, 0, 0, 117, 0, 0, 0, 0, 4, 12, 133
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_error-display__popup.scss", "SCSS", 0, 0, 0, 27, 0, 0, 0, 0, 1, 2, 30
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_footer-nav.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_form.scss", "SCSS", 0, 0, 0, 124, 0, 0, 0, 0, 9, 8, 141
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_github-link.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 1, 6, 31
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_linkedin-link.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 1, 6, 31
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_popup.scss", "SCSS", 0, 0, 0, 17, 0, 0, 0, 0, 4, 5, 26
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_section-card.scss", "SCSS", 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_spin.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 1, 5, 52
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_hero.scss", "SCSS", 0, 0, 0, 59, 0, 0, 0, 0, 3, 5, 67
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-footer.scss", "SCSS", 0, 0, 0, 97, 0, 0, 0, 0, 3, 11, 111
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-header.scss", "SCSS", 0, 0, 0, 61, 0, 0, 0, 0, 11, 12, 84
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-nav-search-form-toggle.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 5, 4, 41
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main.scss", "SCSS", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_modal.scss", "SCSS", 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_search-form.scss", "SCSS", 0, 0, 0, 65, 0, 0, 0, 0, 24, 14, 103
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\main.scss", "SCSS", 0, 0, 0, 30, 0, 0, 0, 0, 8, 8, 46
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\pages\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\pages\_home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\themes\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\themes\_default.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\_normalize.scss", "SCSS", 0, 0, 0, 146, 0, 0, 0, 0, 131, 75, 352
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\_reset.scss", "SCSS", 0, 0, 0, 42, 0, 0, 0, 0, 5, 1, 48
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\MessageService.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\ProductService.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\UserService.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\card.hbs", "Handlebars", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\cards.hbs", "Handlebars", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\modal.hbs", "Handlebars", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\alta.html", "HTML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\inicio.html", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 146, 3, 242
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\login.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\productos.html", "HTML", 448, 0, 0, 0, 0, 0, 0, 0, 0, 2, 450
"Total", "-", 826, 54, 916, 1294, 31, 5786, 163, 1003, 544, 502, 11119
